start,end,levelPrice,categories,tag
2026.01.05,2026.01.09,6909,weekly_smash_stacked_friday_monday_thursday_tuesday,weeklySmash
2026.01.05,2026.01.09,6952,weekly_stacked_friday_monday_thursday_tuesday_wednesday,weeklyUp1
2026.01.05,2026.01.09,6969,weekly_stacked_tuesday,weeklyUp2
2026.01.05,2026.01.09,7010,weekly,weeklyUp3
2026.01.05,2026.01.09,7040,weekly_stacked_wednesday,weeklyUp4
2026.01.05,2026.01.09,7070,weekly,weeklyUp5
2026.01.05,2026.01.09,7100,weekly,weeklyUp6
2026.01.05,2026.01.09,6845,weekly_stacked_monday,weeklyDown1
2026.01.05,2026.01.09,6800,weekly,weeklyDown2
2026.01.05,2026.01.09,6770,weekly,weeklyDown3
2026.01.05,2026.01.09,6725,weekly,weeklyDown4
2026.01.05,2026.01.09,6670,weekly,weeklyDown5
2026.01.05,2026.01.05,6932,daily_monday,dailyUp1
2026.01.05,2026.01.05,6872,daily_monday,dailyDown1
2026.01.06,2026.01.06,6987,daily_tuesday,dailyUp2
2026.01.06,2026.01.06,6935,daily_tuesday,dailyDown1
2026.01.07,2026.01.07,6980,daily_wednesday_smash,dailySmash
2026.01.07,2026.01.07,6994,daily_wednesday,dailyUp1
2026.01.07,2026.01.07,7009,daily_wednesday,dailyUp2
2026.01.07,2026.01.07,6934,daily_wednesday,dailyDown2
2026.01.08,2026.01.08,6976,daily_thursday_smash,dailySmash
2026.01.08,2026.01.08,6994,daily_thursday,dailyUp1
2026.01.08,2026.01.08,7018,daily_thursday,dailyUp2
2026.01.08,2026.01.08,6934,daily_thursday,dailyDown2
2026.01.09,2026.01.09,6976,daily_friday_smash,dailySmash
2026.01.09,2026.01.09,6994,daily_friday,dailyUp1
2026.01.09,2026.01.09,7018,daily_friday,dailyUp2
2026.01.09,2026.01.09,6934,daily_friday,dailyDown2
2026.01.12,2026.01.16,6994,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,weeklySmash
2026.01.12,2026.01.16,7040,weekly_stacked_monday,weeklyUp1
2026.01.12,2026.01.16,7105,weekly,weeklyUp2
2026.01.12,2026.01.16,7135,weekly,weeklyUp3
2026.01.12,2026.01.16,7185,weekly,weeklyUp4
2026.01.12,2026.01.16,7225,weekly,weeklyUp5
2026.01.12,2026.01.16,6952,weekly_stacked_friday_monday_thursday,weeklyDown1
2026.01.12,2026.01.16,6895,weekly,weeklyDown2
2026.01.12,2026.01.16,6865,weekly,weeklyDown3
2026.01.12,2026.01.16,6725,weekly,weeklyDown4
2026.01.12,2026.01.16,6670,weekly,weeklyDown5
2026.01.12,2026.01.12,7017,daily_monday,dailyUp1
2026.01.12,2026.01.12,7053,daily_monday,dailyUp3
2026.01.12,2026.01.12,6976,daily_monday,dailyDown1
2026.01.13,2026.01.13,7017,daily_tuesday_smash,dailySmash
2026.01.13,2026.01.13,7036,daily_tuesday,dailyUp1
2026.01.13,2026.01.13,7053,daily_tuesday,dailyUp2
2026.01.13,2026.01.13,7070,daily_tuesday,dailyUp3
2026.01.13,2026.01.13,6981,daily_tuesday,dailyDown2
2026.01.13,2026.01.13,6960,daily_tuesday,dailyDown3
2026.01.14,2026.01.14,7015,daily_wednesday_smash,dailySmash
2026.01.14,2026.01.14,7036,daily_wednesday,dailyUp1
2026.01.14,2026.01.14,7053,daily_wednesday,dailyUp2
2026.01.14,2026.01.14,6960,daily_wednesday,dailyDown2
2026.01.15,2026.01.15,6977,daily_thursday_smash,dailySmash
2026.01.15,2026.01.15,7015,daily_thursday,dailyUp2
2026.01.15,2026.01.15,6933,daily_thursday,dailyDown2
2026.01.15,2026.01.15,6909,daily_thursday,dailyDown3
2026.01.16,2026.01.16,7015,daily_friday,dailyUp1
2026.01.16,2026.01.16,7036,daily_friday,dailyUp2
2026.01.16,2026.01.16,6968,daily_friday,dailyDown1
2026.01.16,2026.01.16,6933,daily_friday,dailyDown3
2026.01.19,2026.01.23,6968,weekly_smash_stacked_tuesday,weeklySmash
2026.01.19,2026.01.23,7025,weekly,weeklyUp1
2026.01.19,2026.01.23,7036,weekly_stacked_tuesday,weeklyUp2
2026.01.19,2026.01.23,7100,weekly,weeklyUp3
2026.01.19,2026.01.23,7130,weekly,weeklyUp4
2026.01.19,2026.01.23,7185,weekly,weeklyUp5
2026.01.19,2026.01.23,7225,weekly,weeklyUp6
2026.01.19,2026.01.23,6923,weekly_stacked_friday_thursday_tuesday,weeklyDown1
2026.01.19,2026.01.23,6875,weekly,weeklyDown2
2026.01.19,2026.01.23,6845,weekly_stacked_thursday_wednesday,weeklyDown3
2026.01.19,2026.01.23,6775,weekly_stacked_wednesday,weeklyDown4
2026.01.19,2026.01.23,6725,weekly,weeklyDown5
2026.01.20,2026.01.20,6994,daily_tuesday,dailyUp1
2026.01.20,2026.01.20,7015,daily_tuesday,dailyUp2
2026.01.20,2026.01.20,6952,daily_tuesday,dailyDown1
2026.01.21,2026.01.21,6866,daily_wednesday,dailyUp1
2026.01.21,2026.01.21,6894,daily_wednesday,dailyUp2
2026.01.21,2026.01.21,6826,daily_wednesday,dailyDown1
2026.01.21,2026.01.21,6790,daily_wednesday,dailyDown2
2026.01.22,2026.01.22,6894,daily_thursday_smash,dailySmash
2026.01.22,2026.01.22,6952,daily_thursday,dailyUp2
2026.01.22,2026.01.22,6960,daily_thursday,dailyUp3
2026.01.22,2026.01.22,6866,daily_thursday,dailyDown1
2026.01.23,2026.01.23,6960,daily_friday_smash,dailySmash
2026.01.23,2026.01.23,6994,daily_friday,dailyUp1
2026.01.23,2026.01.23,7015,daily_friday,dailyUp2
2026.01.23,2026.01.23,6931,daily_friday,dailyDown1
2026.01.23,2026.01.23,6894,daily_friday,dailyDown3
2026.01.26,2026.01.30,6960,weekly_smash_stacked_monday,weeklySmash
2026.01.26,2026.01.30,7025,weekly,weeklyUp1
2026.01.26,2026.01.30,7036,weekly_stacked_tuesday_wednesday,weeklyUp2
2026.01.26,2026.01.30,7080,weekly,weeklyUp3
2026.01.26,2026.01.30,7110,weekly,weeklyUp4
